#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-08-01T17:30:07 [V7.32.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-08-01T17:30:07	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=e_V(R)
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.3	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_36430161
#Name: J/A+A/643/A161
#Title: Coadded rotation curves of disk galaxies (Dehghani+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/643/a161	
#INFO	publisher=CDS	
#INFO	creator=Dehghani R.	
#INFO	related_resource=bibcode:2020A&A...643A.161D	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/643/A161	
#INFO	publication_id=doi:10.26093/cds/vizier.36430161	
#INFO	publication_date=2021-09-06	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_643_A161_table2:
#Name: J/A+A/643/A161/table2
#Title: Coadded rotation curves and their relevant quantities
#Column	j	(I2)	[1/26] Index of velocity bins (j)	[ucd=meta.id]
#Column	Vopt	(I3)	[40/330] Optical velocity (V_j,opt_)	[ucd=spect.dopplerVeloc.opt]
#Column	Ropt	(F4.1)	[2.5/29.1] Optical radius (R_j,opt_)	[ucd=phys.size.radius]
#Column	N	(I2)	[9/30] Number of data in each bin	[ucd=meta.id]
#Column	R	(F12.9)	[0.275/46.528] Physical radius	[ucd=phys.size.radius]
#Column	V(R)	(F13.9)	[7.2822/335.346] Physical velocity	[ucd=phys.veloc.rotat]
#Column	e_V(R)	(F12.9)	[0.36/24.552] rms uncertainty on V(R) (dV)	[ucd=stat.error]
j|Vopt|Ropt|N|R|V(R)|e_V(R)
 |km/s|km/s| |kpc|km/s|km/s
--|---|----|--|------------|-------------|------------
 1| 75| 4.6|20| 0.460000000| 17.175000000| 1.500000000
 1| 75| 4.6|20| 0.920000000| 28.500000000| 1.350000000
 1| 75| 4.6|20| 1.380000000| 39.750000000| 1.800000000
 1| 75| 4.6|20| 1.840000000| 47.400000000| 1.500000000
 1| 75| 4.6|20| 2.300000000| 55.425000000| 1.725000000
 1| 75| 4.6|20| 2.760000000| 62.400000000| 1.725000000
 1| 75| 4.6|20| 3.220000000| 65.625000000| 1.500000000
 1| 75| 4.6|20| 3.680000000| 68.475000000| 1.650000000
 1| 75| 4.6|20| 4.140000000| 72.750000000| 2.475000000
 1| 75| 4.6|20| 4.600000000| 75.225000000| 2.700000000
 1| 75| 4.6|20| 5.060000000| 76.725000000| 3.450000000
 1| 75| 4.6|20| 5.520000000| 78.000000000| 4.125000000
 1| 75| 4.6|20| 5.980000000| 79.650000000| 3.975000000
 1| 75| 4.6|20| 6.440000000| 81.225000000| 3.975000000
 1| 75| 4.6|20| 6.900000000| 82.875000000| 4.050000000
 1| 75| 4.6|20| 7.360000000| 84.150000000| 4.650000000
 1| 75| 4.6|20| 7.820000000| 85.425000000| 4.425000000
 1| 75| 4.6|20| 8.280000000| 86.925000000| 4.875000000
 1| 75| 4.6|20| 8.740000000| 88.575000000| 4.575000000
 1| 75| 4.6|20| 9.200000000| 90.150000000| 4.650000000
 2|104| 5.7|20| 0.570000000| 25.688000000| 1.456000000
 2|104| 5.7|20| 1.140000000| 46.072000000| 1.560000000
 2|104| 5.7|20| 1.710000000| 61.152000000| 1.560000000
 2|104| 5.7|20| 2.280000000| 68.328000000| 1.248000000
 2|104| 5.7|20| 2.850000000| 75.504000000| 1.560000000
 2|104| 5.7|20| 3.420000000| 82.992000000| 1.560000000
 2|104| 5.7|20| 3.990000000| 89.232000000| 1.560000000
